mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3518532752990723,0.05197105871010463,0.028772544860839844,0.008334914647278664,10,10,5,"{'model__max_depth': 10, 'model__min_samples_leaf': 10, 'model__min_samples_split': 5}",-0.3181725094404748,-0.30952356045822094,-0.3200133839853632,-0.3250945909623072,-0.30514845747997976,-0.31559050046526915,0.0072443140173794884,34,-0.3016125245561818,-0.3047710403516777,-0.30176699417038066,-0.31609251962761514,-0.30418411272755164,-0.30568543828668143,0.005354255776548418
0.3674182891845703,0.03645031072096239,0.02913808822631836,0.004918240054064981,10,10,10,"{'model__max_depth': 10, 'model__min_samples_leaf': 10, 'model__min_samples_split': 10}",-0.3181725094404748,-0.30952356045822094,-0.3200133839853632,-0.3250945909623072,-0.30514845747997976,-0.31559050046526915,0.0072443140173794884,34,-0.3016125245561818,-0.3047710403516777,-0.30176699417038066,-0.31609251962761514,-0.30418411272755164,-0.30568543828668143,0.005354255776548418
0.3606575012207031,0.029538000818241497,0.03051924705505371,0.006803905046894272,10,10,2,"{'model__max_depth': 10, 'model__min_samples_leaf': 10, 'model__min_samples_split': 2}",-0.3181725094404748,-0.30952356045822094,-0.3200133839853632,-0.3250945909623072,-0.30514845747997976,-0.31559050046526915,0.0072443140173794884,34,-0.3016125245561818,-0.3047710403516777,-0.30176699417038066,-0.31609251962761514,-0.30418411272755164,-0.30568543828668143,0.005354255776548418
0.3596848487854004,0.017711202756443122,0.03225407600402832,0.004233275230796667,8,1,5,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",-0.3530683718677008,-0.34265808971948686,-0.3418761227814921,-0.34119696002408184,-0.3377245189132216,-0.34330481266119667,0.005164672589198607,37,-0.33004567605036017,-0.33464887538978033,-0.33264116231974383,-0.3356889080991742,-0.3346496348206121,-0.3335348513359341,0.002004832989584828
0.3418866157531738,0.028810292858705278,0.032125425338745114,0.0071229669146771245,8,1,10,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",-0.3532100958733536,-0.3429069395276855,-0.3418877507325947,-0.3412192121401843,-0.3377531916894226,-0.3433954379926481,0.005204040031492586,38,-0.33100330867766165,-0.335273012694469,-0.333215871857026,-0.3364834261373031,-0.33521929629752834,-0.3342389831327976,0.0019279056666786755
0.3282446384429932,0.022226305404223868,0.02988400459289551,0.0063112613594610055,8,1,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",-0.35282783511756816,-0.3422616293664286,-0.34251264766275813,-0.3412687811464063,-0.3382376697639351,-0.3434217126114193,0.004942807844828031,39,-0.32987640786545464,-0.3336407610485708,-0.3320868245978241,-0.3353069714563786,-0.334192158295527,-0.33302062465275106,0.0018837475244911312
0.329891300201416,0.007040423507797549,0.03226075172424316,0.0021905550426670173,8,2,10,"{'model__max_depth': 8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",-0.3537310830308815,-0.34330460001023283,-0.3411238751675779,-0.34127267922131543,-0.3387465161903062,-0.3436357507240628,0.005250212095616878,40,-0.3315780364779205,-0.33557607288095814,-0.33368766677044437,-0.3370920528596212,-0.33563885436550756,-0.33471453667089035,0.0019047984839588394
0.34282650947570803,0.00852774547292808,0.026145458221435547,0.004605488475309064,8,2,5,"{'model__max_depth': 8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",-0.35348178173248307,-0.342936094919854,-0.341043449920909,-0.34208380968126706,-0.33879011026784334,-0.3436670493044713,0.005099759263784028,41,-0.33087031393744026,-0.33516052774833294,-0.3330126107937733,-0.33654819909459216,-0.33508067322462753,-0.33413446495975324,0.001984311773210265
0.33891782760620115,0.025583849495784974,0.02980670928955078,0.0021862523064705834,8,2,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",-0.3534417130317243,-0.34379652923489434,-0.34138712908707647,-0.3417221481115059,-0.33805222139159213,-0.34367994817135866,0.005216645540359312,42,-0.3308577522998665,-0.33478303908587637,-0.3328697557089924,-0.3365280270788173,-0.33489290481072526,-0.33398629579685557,0.001946873589254841
0.3287206172943115,0.007275705742419691,0.028009414672851562,0.0015103357642278592,8,5,5,"{'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5}",-0.3536526494776965,-0.3419630495350579,-0.3492179034381794,-0.34093350992166227,-0.33615772193678695,-0.3443849668618766,0.006240400862503097,43,-0.33337632135973416,-0.33706944280594525,-0.3361668038568903,-0.33782933306319024,-0.337209505765357,-0.3363302813702234,0.0015696595671787163
