mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
61.11187354723612,0.0941092539858843,3.8346879482269287,0.20117337014081663,200,5,4,0.5,,True,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 0.5, 'model__max_depth': None, 'model__bootstrap': True}",-0.13931410585657925,-0.13879021464949812,-0.13732724755486453,-0.1384771893536473,0.0008407893531894268,11,-0.0937746992687994,-0.09470065453488376,-0.09254067368192236,-0.0936720091618685,0.0008847931075816822
89.93069545427959,7.753406727633345,6.2449508508046465,0.6130831554878695,300,10,1,0.5,30,True,"{'model__n_estimators': 300, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 30, 'model__bootstrap': True}",-0.141300035515959,-0.13930182694324747,-0.14214607303830334,-0.14091597849916995,0.0011924928529258442,12,-0.10102357984446463,-0.10368546690662608,-0.10155624074766618,-0.10208842916625228,0.0011500229179117927
69.76228896776836,4.348090000005059,4.075388352076213,0.4835330627075706,100,5,1,0.5,20,True,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 20, 'model__bootstrap': True}",-0.1795885218707689,-0.1818206226812498,-0.1798585161635146,-0.18042255357184442,0.0009947100601126427,13,-0.14787911249142963,-0.1483703962798508,-0.14746812397018436,-0.14790587758048826,0.00036883700798766647
11.578362703323364,4.686814581803643,8.210351546605429,0.38155530550445294,100,5,2,0.5,20,True,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 20, 'model__bootstrap': True}",-0.18191658229455332,-0.1855894552565601,-0.18049021565636914,-0.18266541773582753,0.002148042056326358,14,-0.15272519496164483,-0.15281700813130242,-0.15085764132525686,-0.1521332814727347,0.0009027922440678534
156.82655398050943,1.5840039091142801,8.531997680664062,0.8115364516003871,500,5,1,0.8,20,True,"{'model__n_estimators': 500, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 20, 'model__bootstrap': True}",-0.18404417987883462,-0.18455687654875327,-0.1837336844595645,-0.18411158029571748,0.0003394293407792244,15,-0.15389601497145416,-0.1523202690402292,-0.15279977875134945,-0.15300535425434425,0.0006595148598359732
70.51831412315369,0.8627363516289016,8.570780754089355,0.1842304432400304,300,5,4,0.8,20,True,"{'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 0.8, 'model__max_depth': 20, 'model__bootstrap': True}",-0.19144629753171127,-0.1938185451394546,-0.18823833902381099,-0.19116772723165898,0.002286609736752939,16,-0.1684806284324556,-0.16656471786894048,-0.16574072672639953,-0.1669286910092652,0.0011477870519309792
99.50714627901714,0.5025982015682224,5.010835568110148,1.391106052389519,300,10,4,1.0,20,True,"{'model__n_estimators': 300, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 1.0, 'model__max_depth': 20, 'model__bootstrap': True}",-0.19823520966888852,-0.2015993291568769,-0.19465350236173778,-0.1981626803958344,0.002836085663798542,17,-0.1770081200643793,-0.17637254053227566,-0.173488898349308,-0.175623186315321,0.0015313129827717901
51.3080829779307,0.6612656871176076,4.739474614461263,1.4424913426167305,300,2,2,sqrt,30,True,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 30, 'model__bootstrap': True}",-0.2175505465051399,-0.20815451798706483,-0.20550295558563206,-0.21040267335927895,0.005168930493771633,18,-0.15029282232610777,-0.15368617359048314,-0.14894873006596296,-0.1509759086608513,0.001993455624878494
17.2430153687795,2.2137216124515646,8.854982455571493,0.6478828322139626,100,5,2,sqrt,30,True,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 30, 'model__bootstrap': True}",-0.2162279889462978,-0.20682028796620425,-0.20863353135447574,-0.21056060275565924,0.004075243352378511,19,-0.15341958385120613,-0.15650292379093264,-0.15314210609793677,-0.15435487124669187,0.0015231208696848636
15.963686227798462,1.1818781089625852,5.0489734808603925,0.8530349032425026,200,10,2,sqrt,30,True,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 30, 'model__bootstrap': True}",-0.22331480153773603,-0.214801431628764,-0.21484227901087896,-0.21765283739245966,0.004003647971034479,20,-0.1698999523809129,-0.174195785946246,-0.17074029262473522,-0.17161201031729803,0.0018589361306772343
