mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__max_leaf_nodes,param_model__max_iter,param_model__max_depth,param_model__learning_rate,param_model__l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2.4274651209513345,0.3132967991061434,0.42954858144124347,0.10492920719166586,50,63,250,,0.05,0.1,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 63, 'model__max_iter': 250, 'model__max_depth': None, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.1}",-0.1860109136326518,-0.18090914899543958,-0.18176759692273783,-0.18289588651694308,0.002230362998807013,11,-0.14267768668922204,-0.1434313784857538,-0.14407721760459327,-0.14339542759318968,0.0005719213499407513
0.9533116817474365,0.18321663548502587,0.16986505190531412,0.032677690580230435,20,31,150,16,0.1,0.01,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 31, 'model__max_iter': 150, 'model__max_depth': 16, 'model__learning_rate': 0.1, 'model__l2_regularization': 0.01}",-0.18515330672375982,-0.1821276660340848,-0.18396244374759257,-0.18374780550181238,0.0012445019293323618,12,-0.14971454759146002,-0.15365663069328087,-0.15175841250415845,-0.1517098635962998,0.001609714786901924
1.2167895634969075,0.06474954593349132,0.2936562697092692,0.03406773772388156,50,15,500,8,0.15,1.0,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 15, 'model__max_iter': 500, 'model__max_depth': 8, 'model__learning_rate': 0.15, 'model__l2_regularization': 1.0}",-0.18793720772859993,-0.18272790874363443,-0.18851001177566404,-0.18639170941596614,0.0026012308168784173,13,-0.1439137645363243,-0.1525706321712537,-0.16023474170003324,-0.1522397128025371,0.006667118548819578
1.107170581817627,0.06139564387256399,0.2023476759592692,0.04045791850007424,30,31,150,12,0.1,0.01,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 31, 'model__max_iter': 150, 'model__max_depth': 12, 'model__learning_rate': 0.1, 'model__l2_regularization': 0.01}",-0.18950218158324278,-0.18772648696725358,-0.18450982296978272,-0.18724616384009304,0.002066227457826008,14,-0.1542146204874993,-0.15934060188617383,-0.15619056651606728,-0.15658192962991346,0.0021108916188898133
1.3935972849527996,0.12816280136384495,0.1820217768351237,0.004156552439702519,20,63,150,8,0.05,0.1,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 63, 'model__max_iter': 150, 'model__max_depth': 8, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.1}",-0.1932901400365175,-0.1858706638860581,-0.18568456255178353,-0.18828178882478638,0.0035422539737377367,15,-0.15809799238762223,-0.15750594513720828,-0.1566279968198564,-0.1574106447815623,0.000603894781482386
1.6483738422393799,0.16655635766404428,0.3399198055267334,0.008304561825795182,50,15,500,8,0.08,0.1,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 15, 'model__max_iter': 500, 'model__max_depth': 8, 'model__learning_rate': 0.08, 'model__l2_regularization': 0.1}",-0.19546252571651784,-0.19450249175649195,-0.1960281623058661,-0.19533105992629196,0.0006297513248929726,16,-0.15892684590682046,-0.17118256745549223,-0.17035670167849265,-0.16682203834693513,0.005592915835843141
0.709058920542399,0.03309319275464419,0.1556395689646403,0.025438687676690292,20,15,150,,0.15,0.0,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 15, 'model__max_iter': 150, 'model__max_depth': None, 'model__learning_rate': 0.15, 'model__l2_regularization': 0.0}",-0.20232216588867188,-0.19361725011778796,-0.19318537799093125,-0.19637493133246373,0.00420902423636061,17,-0.1740334356508898,-0.1724479540958736,-0.17112210573369493,-0.17253449849348612,0.0011901198598620367
2.0255534648895264,0.15259517066856806,0.4825143814086914,0.04057883240361214,30,15,500,8,0.05,0.01,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 15, 'model__max_iter': 500, 'model__max_depth': 8, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.01}",-0.20089643525946105,-0.19332324944543722,-0.19612592094994788,-0.1967818685516154,0.0031263382505771786,18,-0.17139216537911173,-0.1733875430424027,-0.1737265117729814,-0.17283540673149858,0.0010298654122447813
1.4764715830485027,0.03217346001649144,0.23438247044881186,0.05058387188765168,30,31,150,12,0.05,1.0,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 31, 'model__max_iter': 150, 'model__max_depth': 12, 'model__learning_rate': 0.05, 'model__l2_regularization': 1.0}",-0.21812643963373918,-0.2124738015354043,-0.2120878663768492,-0.21422936918199756,0.0027601455355385947,19,-0.19466332811859566,-0.1979299942012626,-0.19567937674682173,-0.19609089968889334,0.0013649884426372926
2.076200008392334,0.2513377568670883,0.49915234247843426,0.11525997207185434,50,15,500,12,0.03,0.01,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 15, 'model__max_iter': 500, 'model__max_depth': 12, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.01}",-0.23253043371942414,-0.21940192648288195,-0.22206453869456885,-0.224665632965625,0.005666491808292905,20,-0.2100963087543714,-0.20788906093490525,-0.20672604656158505,-0.20823713875028727,0.0013977447158910659
